sortOrder,titulo,categorias,referencia,preco,id,Relevancia
1001,Carro Cuba 400L + Tampa,Equipamentos de Limpeza / Carro Cuba,CMICT400,,product-199,11
1002,Carro Cuba 400L C400,Equipamentos de Limpeza / Carro Cuba,CMIC400,,product-193,11
1003,Carro Cuba com Estrutura Metálica,Equipamentos de Limpeza / Carro Cuba,CMIEM,,product-257,11
1004,Carro Cuba com Estrutura Metálica + Tampa Bi Partida,Equipamentos de Limpeza / Carro Cuba,CMIEMT,,product-203,11
1005,Plataforma de Elevação para Carro Cuba 400L,Equipamentos de Limpeza / Carro Cuba,CMICP400,,product-201,11
1006,Carro Arrumadeira Bolonha,Equipamentos de Limpeza / Carro Funcional,CMINY215,,product-175,11
1007,Carro Extra I Aberto C/ 1 Bolsa - Amarela CE01AM,Equipamentos de Limpeza / Carro Funcional,CMICE01AM,,product-179,11
1008,Carro Extra I C/ Fechamento Lateral C/ 1 Bolsa Amarela CH01AM,Equipamentos de Limpeza / Carro Funcional,CMICH01AM,,product-183,11
1009,Carro Extra I C/ Fechamento Lateral C/ 1 Bolsa e Portas - Amarela CA01AM,Equipamentos de Limpeza / Carro Funcional,CMICA01AM,,product-185,11
1010,Carro Extra II Aberto C/ 2 Bolsas - Amarela CEAMAM,Equipamentos de Limpeza / Carro Funcional,CMICEAMAM,,product-187,11
1011,Carro Extra II C/ Fechamento Lateral C/ 2 Bolsas - Amarela CHAMAM,Equipamentos de Limpeza / Carro Funcional,CMICHAMAM,,product-189,11
1012,Carro Extra II C/ Fechamento Lateral C/ 2 Bolsas e Portas - Amarela CAAMAM,Equipamentos de Limpeza / Carro Funcional,CMICAAMAM,,product-191,11
1013,Carro Extra Triplex Com Fechamento Lateral e Portas CA3000,Equipamentos de Limpeza / Carro Funcional,CMICA3000,,product-177,11
1014,Carro Funcional / Carrinho de Limpeza c/ Bolsa,Equipamentos de Limpeza / Carro Funcional,CMICFP250,,product-723,11
1015,Carro Funcional América Carrinho de Limpeza com Bolsa de Vinil Amarela CF2005,Equipamentos de Limpeza / Carro Funcional,CMICF2005,,product-2015,11
1016,Carro Funcional América PAN CF200P,Equipamentos de Limpeza / Carro Funcional,CMICF200P,,product-1333,11
1017,Carro Funcional Guard - Carrinho de Limpeza com fechamento - Amarela - CÓD GUARDAM,Equipamentos de Limpeza / Carro Funcional,CMIGUARDAM,,product-313,11
1018,Carro Funcional NY Master/Compaq NY100,Equipamentos de Limpeza / Carro Funcional,CMINY100,,product-207,11
1019,Carro Strong Com Fechamento Lateral 4 Bandejas CH4000,Equipamentos de Limpeza / Carro Funcional,CMICH4000,,product-209,11
1020,Carro Strong Com Fechamento Lateral 5 Bandejas CH5000,Equipamentos de Limpeza / Carro Funcional,CMICH5000,,product-215,11
1021,Carro Strong Fechamento Lateral e Porta com chave - 5 Bandejas CA5000,Equipamentos de Limpeza / Carro Funcional,CMICA5000,,product-217,11
1022,Carro Strong Fechamento Lateral e Porta Com chave 4 Bandejas CA4000,Equipamentos de Limpeza / Carro Funcional,CMICA4000,,product-213,11
1023,Carro Strong sem Fechamento 4 Bandejas CE4000,Equipamentos de Limpeza / Carro Funcional,CMICE4000,,product-211,11
1024,Kit Profissional Carrinho de Limpeza Completo NYKT03 KIT 3,Equipamentos de Limpeza / Carro Funcional,CMINYKT03,,product-1821,11
1025,Carro Bancada NY102,Equipamentos de Limpeza / Carro Prateleira,CMINY102,,product-219,11
1026,Carro Bandeja NY103,Equipamentos de Limpeza / Carro Prateleira,CMINY103,,product-285,11
1027,Carro de Limpeza Guard Hospitalar Hosp 100 - Comali,Equipamentos de Limpeza / Carro Prateleira,CMIHOSP100,,product-1379,11
1028,Carro de Limpeza Guard Hospitalar Hosp 101 - Comali,Equipamentos de Limpeza / Carro Prateleira,CMIHOSP101,,product-1381,11
1029,Carro de Limpeza Guard Hospitalar Hosp 102 - Comali,Equipamentos de Limpeza / Carro Prateleira,CMIHOSP102,,product-1383,11
1030,Carro Extra Triplex 3 prateleiras sem fechamento CE3000,Equipamentos de Limpeza / Carro Prateleira,CMICE3000,,product-171,11
1031,Carro Extra Triplex Com Fechamento CH3000,Equipamentos de Limpeza / Carro Prateleira,CMICH3000,,product-937,11
1032,Carro Strong Sem Fechamento 5 Bandejas CE5000,Equipamentos de Limpeza / Carro Prateleira,CMICE5000,,product-1749,11
1033,Balde com Tela Plástica e Tampa para Fechamento,Equipamentos de Limpeza / Baldes,CMIBF200,,product-291,12
1034,Balde Espremedor 2 Águas 33L - BE33PF,Equipamentos de Limpeza / Baldes,CMIBE33PF,,product-1809,12
1035,Balde Espremedor Doblô 20L Standard B20S,Equipamentos de Limpeza / Baldes,CMIB20S,,product-321,12
1036,Balde Espremedor Doblô 30 Litros NY108,Equipamentos de Limpeza / Baldes,CMINY108,,product-221,12
1037,Balde Espremedor Doblô Flex 20 Litros B20F,Equipamentos de Limpeza / Baldes,CMIB20F,,product-315,12
1038,Balde Mopinho 12 Litros - Azul - BE50AZ,Equipamentos de Limpeza / Baldes,CMIBE50AZ,,product-249,12
1039,"Balde Plástico com Centrífuga em Inox, Mop e Cabo 360º Mop Pro 380898",Equipamentos de Limpeza / Baldes,CMI380898,,product-727,12
1040,"Conjunto de Limpeza Mopinho - Balde, Mop (bruxa) e Cabo",Equipamentos de Limpeza / Baldes,CMICJ50AZ,,product-311,12
1041,Kit Balde Espremedor Doblô Flex 20 Litros,Equipamentos de Limpeza / Baldes,CMI2129,,product-2129,12
1042,Kit Profissional - Balde Espremedor Completo para Limpeza NYKT01 - KIT 1,Equipamentos de Limpeza / Baldes,CMINYKT01,,product-309,12
1043,Kit Profissional Balde Espremedor 50L Completo para Limpeza NYKT02 - KIT 2,Equipamentos de Limpeza / Baldes,CMINYKT02,,product-307,12
1044,Conjunto Balde Espremedor Doblô 50 litros NY104,Equipamentos de Limpeza / Baldes / Acessórios,CMINY104,,product-231,12
1045,Balde 15 Litros - BA15xx,Equipamentos de Limpeza / Baldes / Acessórios / Variedades,CMIBA15xx,,product-241,12
1046,Balde 25 Litros - BA25xx,Equipamentos de Limpeza / Baldes / Acessórios / Variedades,CMIBA25xx,,product-243,12
1047,Balde 4 Litros - BA04xx,Equipamentos de Limpeza / Baldes / Acessórios / Variedades,CMIBA04xx,,product-239,12
1048,Mop Profissional Spray Pro,Equipamentos de Limpeza / MOP / Variedades,CMIPSM85,,product-731,12
1049,Super Mop Doméstico,Equipamentos de Limpeza / MOP / Variedades,CMISM600,,product-245,12
1050,Super Mop Profissional,Equipamentos de Limpeza / MOP / Variedades,CMISM700,,product-247,12
1051,"Placa Sinalizadora ""Piso Molhado"" Compacta",Equipamentos de Limpeza / Placas de Sinalização,CMIPL2000,,product-273,12
1052,Kit Plus p/ Limpeza de Vidros,Equipamentos de Limpeza / Rodo Limpa Vidros,CMIKT904,,product-299,12
1053,Rodo Combinado Limpa Vidros 25cm com Cabo 60cm,Equipamentos de Limpeza / Rodo Limpa Vidros,CMICB250,,product-1935,12
1054,Rodo Combinado Limpa Vidros sem Cabo,Equipamentos de Limpeza / Rodo Limpa Vidros,CMICB,,product-1355,12
2001,Lixeira 15 litros com pedal em inox ESCOVADO - Marca,Lixeiras e Contentores / Com Pedal / Lixeiras Inox,CMI183,,product-387,21
2002,Lixeira 30 litros com Pedal em inox ESCOVADO,Lixeiras e Contentores / Com Pedal / Lixeiras Inox,CMI181,,product-389,21
2003,"Lixeira em Aço Inox 10,5L com Pedal e Recipiente Interno",Lixeiras e Contentores / Com Pedal / Lixeiras Inox,CMI3567,,product-1811,21
2004,Lixeira Inox coleta seletiva - redonda com pedal,Lixeiras e Contentores / Com Pedal / Lixeiras Inox,CMI2191,,product-2191,21
2005,Lixeira Inox com pedal - de 15L a 100L,Lixeiras e Contentores / Com Pedal / Lixeiras Inox,CMI2131,,product-2131,21
2006,Lixeira Inox Quadrada c/ Pedal - de 15L a 120L,Lixeiras e Contentores / Com Pedal / Lixeiras Inox,CMI2181,,product-2181,21
2007,Lixeira Inox Redonda com Pedal 30 Litros MSP376,Lixeiras e Contentores / Com Pedal / Lixeiras Inox,CMIMSP376,,product-1867,21
2008,Lixeira 15 Litros em Aço Inox com Pedal e Recipiente Plástico,Lixeiras e Contentores / Com Pedal / Lixeiras Inox / Lixeiras Plástico,CMI3585,,product-1295,21
2009,"Lixeira em Aço Inox com Pedal e Recipiente Plástico - 4,5L",Lixeiras e Contentores / Com Pedal / Lixeiras Inox / Lixeiras Plástico,CMI3505,,product-1293,21
2010,Container de Lixo Hospitalar 1000 Litros C/Pedal Branco,Lixeiras e Contentores / Com Pedal / Lixeiras Plástico,CMICP1000H,,product-195,21
2011,Contentor de Lixo 1000 Litros COM PEDAL,Lixeiras e Contentores / Com Pedal / Lixeiras Plástico,CMICP1000,,product-115,21
2012,Contentor de Lixo 120 Litros COM PEDAL,Lixeiras e Contentores / Com Pedal / Lixeiras Plástico,CMICP120,,product-121,21
2013,Contentor de lixo 120 litros com Pedal,Lixeiras e Contentores / Com Pedal / Lixeiras Plástico,CMICP12,,product-2017,21
2014,Contentor de lixo 240 Litros COM PEDAL,Lixeiras e Contentores / Com Pedal / Lixeiras Plástico,CMICP240,,product-123,21
2015,Contentor de Lixo 240 Litros com Pedal,Lixeiras e Contentores / Com Pedal / Lixeiras Plástico,CMICP24,,product-2019,21
2016,Contentor de Lixo 360 Litros COM PEDAL,Lixeiras e Contentores / Com Pedal / Lixeiras Plástico,CMICP360,,product-125,21
2017,Contentor de Lixo 700 Litros COM PEDAL,Lixeiras e Contentores / Com Pedal / Lixeiras Plástico,CMICP700,,product-155,21
2018,Contentor de Lixo Hospitalar 660 litros c/Pedal,Lixeiras e Contentores / Com Pedal / Lixeiras Plástico,CMICP700H,,product-29,21
2019,Contentor Hospitalar 120 litros c/Pedal (coletor de resíduos) Branco,Lixeiras e Contentores / Com Pedal / Lixeiras Plástico,CMICP120H,,product-27,21
2020,Contentor Hospitalar 240 litros c/Pedal (coletor de resíduos) Branco,Lixeiras e Contentores / Com Pedal / Lixeiras Plástico,CMICP240H,,product-31,21
2021,Contentor Hospitalar 360 litros c/ c Pedal Branco,Lixeiras e Contentores / Com Pedal / Lixeiras Plástico,CMICP360H,,product-35,21
2022,Lixeira 100 Litros com Pedal e Rodas,Lixeiras e Contentores / Com Pedal / Lixeiras Plástico,CMICP11,,product-675,21
2023,Lixeira 100 Litros com Pedal sem rodas,Lixeiras e Contentores / Com Pedal / Lixeiras Plástico,CMICP10,,product-319,21
2024,Lixeira 100 Lts com Pedal,Lixeiras e Contentores / Com Pedal / Lixeiras Plástico,CMILPF100,,product-701,21
2025,Lixeira 15 Litros com Pedal em plástico,Lixeiras e Contentores / Com Pedal / Lixeiras Plástico,CMICP15,,product-131,21
2026,Lixeira 30 Lts com Pedal,Lixeiras e Contentores / Com Pedal / Lixeiras Plástico,CMICP30,,product-151,21
2027,Lixeira 35 Lts com Pedal,Lixeiras e Contentores / Com Pedal / Lixeiras Plástico,CMILPF35,,product-717,21
2028,Lixeira 50 Lts com Pedal,Lixeiras e Contentores / Com Pedal / Lixeiras Plástico,CMILPF50,,product-713,21
2029,Lixeira 60 Litros com Pedal,Lixeiras e Contentores / Com Pedal / Lixeiras Plástico,CMICP60,,product-303,21
2030,Lixeira Plástico 17 Litros com Pedal Branca LPF17,Lixeiras e Contentores / Com Pedal / Lixeiras Plástico,CMILPF17BR,,product-703,21
2031,Contentor de Lixo 1000 Litros SEM PEDAL,Lixeiras e Contentores / Sem Pedal / Lixeiras Plástico,CMIC1000,,product-1525,21
2032,Contentor de lixo 120 Litros,Lixeiras e Contentores / Sem Pedal / Lixeiras Plástico,CMIC120-,,product-141,21
2033,Contentor de Lixo 120 litros SEM PEDAL,Lixeiras e Contentores / Sem Pedal / Lixeiras Plástico,CMIC120,,product-1527,21
2034,Contentor de Lixo 240 litros,Lixeiras e Contentores / Sem Pedal / Lixeiras Plástico,CMIC240-,,product-293,21
2035,Contentor de lixo 240 litros SEM PEDAL,Lixeiras e Contentores / Sem Pedal / Lixeiras Plástico,CMIC240,,product-127,21
2036,Contentor de Lixo 360 Litros SEM PEDAL,Lixeiras e Contentores / Sem Pedal / Lixeiras Plástico,CMIC360,,product-805,21
2037,Contentor de lixo 700 litros SEM PEDAL,Lixeiras e Contentores / Sem Pedal / Lixeiras Plástico,CMIC700,,product-119,21
2038,Lixeira Cinzeiro com Aro de Alumínio CZ51,Lixeiras e Contentores / Cinzeiros e Bituqueiras,CMICZ51,,product-161,22
2039,Cinzeiro bituqueira de inox,Lixeiras e Contentores / Cinzeiros e Bituqueiras / Lixeiras Inox,CMI2189,,product-2189,22
2040,Lixeira Cinzeiro Inox Aro esmaltado preto 25 Litros MSP570,Lixeiras e Contentores / Cinzeiros e Bituqueiras / Lixeiras Inox,CMIMSP570,,product-739,22
2041,Lixeira Cinzeiro Inox Aro Inox 25lts MSP555,Lixeiras e Contentores / Cinzeiros e Bituqueiras / Lixeiras Inox,CMIMSP555,,product-1899,22
2042,Cesto de Lixo 14 litros sem tampa nas Cores da Coleta Seletiva,Lixeiras e Contentores / Coleta Seletiva / Lixeiras Plástico,CMICV30,,product-147,22
2043,Coleta Seletiva Papeleira DINA - conjunto com 4 lixeiras + suporte,Lixeiras e Contentores / Coleta Seletiva / Lixeiras Plástico,CMIDINAKIT,,product-1813,22
2044,Conjunto 2 Lixeiras Coleta Seletiva + Base + Tampa,Lixeiras e Contentores / Coleta Seletiva / Lixeiras Plástico,CMICOMALI02SR,,product-327,22
2045,Conjunto 3 Lixeiras Coleta Seletiva + Base + Tampa,Lixeiras e Contentores / Coleta Seletiva / Lixeiras Plástico,CMICOMALI09,,product-1789,22
2046,CONJUNTO 3 LIXEIRAS COLETA SELETIVA + BASE + TAMPA,Lixeiras e Contentores / Coleta Seletiva / Lixeiras Plástico,CMI2093,,product-2093,22
2047,Conjunto Coleta Seletiva 4 lixeiras 50 Litros com Suporte Metálico,Lixeiras e Contentores / Coleta Seletiva / Lixeiras Plástico,CMIKTLX50PL,,product-1519,22
2048,Conjunto Coleta Seletiva 4 Lixeiras 50 Lts e Base com Rodas,Lixeiras e Contentores / Coleta Seletiva / Lixeiras Plástico,CMICOMALI04CR,,product-1877,22
2049,Conjunto Coleta Seletiva c/ 4 Lixeiras de 50 Litros + Base (Com rodas ou Sem rodas),Lixeiras e Contentores / Coleta Seletiva / Lixeiras Plástico,CMI2081,,product-2081,22
2050,Conjunto de 2 lixeiras para Coleta Seletiva com tampa e módulo,Lixeiras e Contentores / Coleta Seletiva / Lixeiras Plástico,CMILS52,,product-2095,22
2051,Lixeira 50 litros + suporte para coleta seletiva DINA,Lixeiras e Contentores / Coleta Seletiva / Lixeiras Plástico,CMIDINAKIT2,,product-1819,22
2052,Lixeira 50 Litros com Suporte para Coleta Seletiva LS5P,Lixeiras e Contentores / Coleta Seletiva / Lixeiras Plástico,CMILS5P,,product-1337,22
2053,Lixeira plástico para coleta seletiva DINA 50 Litros,Lixeiras e Contentores / Coleta Seletiva / Lixeiras Plástico,CMIDINA,,product-1363,22
2054,Lixeira retangular para coleta Seletiva 50 Litros com alça,Lixeiras e Contentores / Coleta Seletiva / Lixeiras Plástico,CMILS52,,product-2085,22
2055,Lixeira inox quadrada para Copos Descartáveis,Lixeiras e Contentores / Lixeira para Copos / Lixeiras Inox,CMI1823,,product-1823,22
2056,Lixeira inox redonda para Copos Descartáveis Inox,Lixeiras e Contentores / Lixeira para Copos / Lixeiras Inox,CMI1825,,product-1825,22
2057,Lixeira Papacopo Água Água PP22,Lixeiras e Contentores / Lixeira para Copos / Lixeiras Plástico,CMIPP22,,product-1273,22
2058,Lixeira Papacopo Água Café PP21,Lixeiras e Contentores / Lixeira para Copos / Lixeiras Plástico,CMIPP21,,product-1275,22
2059,Lixeira Papacopo Água PP2,Lixeiras e Contentores / Lixeira para Copos / Lixeiras Plástico,CMIPP2,,product-1277,22
2060,Lixeira Papacopo Café Café PP11,Lixeiras e Contentores / Lixeira para Copos / Lixeiras Plástico,CMIPP11,,product-1281,22
2061,Lixeira Papacopo Café PP1,Lixeiras e Contentores / Lixeira para Copos / Lixeiras Plástico,CMIPP1,,product-1279,22
2062,Lixeira para copos de café descartáveis Preta,Lixeiras e Contentores / Lixeira para Copos / Lixeiras Plástico,CMIMSP261,,product-1891,22
2063,Lixeira para copos de café e água descartáveis Preta,Lixeiras e Contentores / Lixeira para Copos / Lixeiras Plástico,CMIMSP259,,product-1839,22
2064,Lixeira Redonda c/ Tampa p/ Copos Descartáveis Água e Café Preta,Lixeiras e Contentores / Lixeira para Copos / Lixeiras Plástico,CMICL51PR+MSP529,,product-741,22
2065,Lixeira Redonda c/ Tampa para Copos de Água Descartáveis Branca,Lixeiras e Contentores / Lixeira para Copos / Lixeiras Plástico,CMICL51BR+MSP513,,product-743,22
2066,Cesto Aço Inox Porta Guarda Chuva - 25 Litros,Lixeiras e Contentores / Lixeiras Inox,CMIKITINOXGUARD,,product-1815,22
2067,Cesto de inox - Porta Guarda-chuva,Lixeiras e Contentores / Lixeiras Inox,CMI2183,,product-2183,22
2068,Cesto para Lixo 14 Litros sem Tampa,Lixeiras e Contentores / Lixeiras Inox,CMICL24,,product-1309,22
2069,Cesto para Lixo 23 Litros sem Tampa CL51,Lixeiras e Contentores / Lixeiras Inox,CMICV51,,product-165,22
2070,Cesto Porta Guarda Chuva Inox Metal - 25 Litros MSP741,Lixeiras e Contentores / Lixeiras Inox,CMIMSP741,,product-1865,22
2071,Cesto Porta Guarda-chuva Inox Perfurado,Lixeiras e Contentores / Lixeiras Inox,CMI3547,,product-1299,22
2072,Lixeira Aço Inox 15 Litros,Lixeiras e Contentores / Lixeiras Inox,CMIMSP380,,product-1859,22
2073,Lixeira Inox 25 litros 24Dx50A Aldinox MSP382,Lixeiras e Contentores / Lixeiras Inox,CMIMSP382,,product-1863,22
2074,Lixeira Inox c/ Tampa Aro - de 15L a 100L,Lixeiras e Contentores / Lixeiras Inox,CMI2177,,product-2177,22
2075,Lixeira Inox c/ Tampa Basculante - de 15L a 100L,Lixeiras e Contentores / Lixeiras Inox,CMI2133,,product-2133,22
2076,Lixeira Inox c/ Tampa Flip Top Basculante Inox - de 10L a 50L,Lixeiras e Contentores / Lixeiras Inox,CMI2103,,product-2103,22
2077,Lixeira Inox coleta seletiva - redonda com tampa basculante,Lixeiras e Contentores / Lixeiras Inox,CMI2195,,product-2195,22
2078,Lixeira Inox Quadrada c/ Tampa Aro - de 15L a 100L,Lixeiras e Contentores / Lixeiras Inox,CMI2137,,product-2137,22
2079,Lixeira Inox Quadrada c/ Tampa Basculante - de 15L a 100L,Lixeiras e Contentores / Lixeiras Inox,CMI2139,,product-2139,22
2080,Lixeira Inox sem tampa - de 10L a 50L,Lixeiras e Contentores / Lixeiras Inox,CMI2105,,product-2105,22
2081,Lixeira Inox sem tampa - de 15L a 100L,Lixeiras e Contentores / Lixeiras Inox,CMI2179,,product-2179,22
2082,Cesto para Lixo em Aço Inox com Aro Plástico 7L,Lixeiras e Contentores / Lixeiras Inox / Lixeiras Plástico,CMI3545,,product-1301,22
2083,Lixeira em plástico 23 Lts c/Tampa Aro Inox,Lixeiras e Contentores / Lixeiras Inox / Lixeiras Plástico,CMICL51PR+MSP363,,product-1369,22
2084,Lixeira Inox 50L com Fundo de Plástico,Lixeiras e Contentores / Lixeiras Inox / Lixeiras Plástico,CMIMSP388,,product-1869,22
2085,Lixeira 23 Litros em plástico redonda sem tampa,Lixeiras e Contentores / Lixeiras Plástico,CMICL51,,product-1311,22
2086,Lixeira Cesto Porta Guarda Chuva 23 Litros COM ADESIVO GUARDA CHUVA,Lixeiras e Contentores / Lixeiras Plástico,CMICL51GUARD,,product-1345,22
2087,Lixeira Cesto Quadrado 100 Lts com Tampa Basculante CD11,Lixeiras e Contentores / Lixeiras Plástico,CMICD11,,product-301,22
2088,Lixeira Cesto Quadrado 60 Lts c/ Tampa Basculante CV61,Lixeiras e Contentores / Lixeiras Plástico,CMICV61,,product-149,22
3001,Dispenser Copo Água 180/200ml em Aço com Pintura Epoxi Branco,Dispensers / Dispenser Copos / Dispenser Inox,CMIAUR180,,product-339,30
3002,Dispenser Copo Café 50ml em Aço c/ Pintura em Epoxi Branco - AUR50,Dispensers / Dispenser Copos / Dispenser Inox,CMIAUR50,,product-337,30
3003,Dispenser para Copos DE ÁGUA Descartáveis em Aço Inox,Dispensers / Dispenser Copos / Dispenser Inox,CMIMSP058,,product-1847,30
3004,Dispenser para Copos DE CAFÉ Descartáveis 50ml em Inox,Dispensers / Dispenser Copos / Dispenser Inox,CMIMSP059,,product-1845,30
3005,Porta Copos de Parede Inox Cristal - Água,Dispensers / Dispenser Copos / Dispenser Inox,CMIMSP027,,product-1893,30
3006,Dispenser de Copos de Água com Regulador de Saída,Dispensers / Dispenser Copos / Dispenser Plástico,CMIDPCD,,product-2031,30
3007,Dispenser para Copos de ÁGUA Poupa Copos (150/180/200ml) - 28988,Dispensers / Dispenser Copos / Dispenser Plástico,CMI28988,,product-1259,30
3008,Dispenser para Copos de Café com Regulador de Saída,Dispensers / Dispenser Copos / Dispenser Plástico,CMIDPCAF,,product-2033,30
3009,Dispenser para Copos Descartáveis em Acrílico - Água,Dispensers / Dispenser Copos / Dispenser Plástico,CMIMSP025,,product-1851,30
3010,Dispenser para copos descartáveis em acrílico - Café - MSP026,Dispensers / Dispenser Copos / Dispenser Plástico,CMIMSP026,,product-1849,30
3011,Dispenser Poupa Copos p/ Copos de Café Descartáveis 50 ml 32324,Dispensers / Dispenser Copos / Dispenser Plástico,CMI32298,,product-1263,30
3012,Porta Copos de Café Descartáveis em Acrílico,Dispensers / Dispenser Copos / Dispenser Plástico,CMIMSP028,,product-1835,30
3013,Porta Copos para Balcão Duplo Água/Café,Dispensers / Dispenser Copos / Dispenser Plástico,CMIMSP010A,,product-1897,30
3014,Embalador de Guarda Chuva em Inox,Dispensers / Dispenser Inox,CMI17124,,product-1765,30
3015,Embalador de Guarda Chuva em Inox,Dispensers / Dispenser Inox,CMI2193,,product-2193,30
3016,Kit de Dispenser em aço inox - LINHA NOBLE,Dispensers / Dispenser Inox,CMIKT3,,product-1763,30
3017,Kit de Dispenser em aço inox - Linha Quadra,Dispensers / Dispenser Inox,,,product-2185,30
3018,Dispenser 3x1 - Higiênico Rolinho - Cai Cai - Toalha Interfolhas,Dispensers / Dispenser Plástico,CMIDIMMT,,product-1389,30
3019,Dispenser de Fio de Dental Biofio,Dispensers / Dispenser Plástico,CMI1621,,product-415,30
3020,Dispenser para Fio Dental + Refil,Dispensers / Dispenser Plástico,CMIMFPERS.MF400,,product-737,30
3021,Dispenser para Fio Dental Personal,Dispensers / Dispenser Plástico,CMImfpers,,product-1329,30
3022,Kit Dispenser Linha Ag+ Cai Cai,Dispensers / Dispenser Plástico,CMIKTAGMAIS,,product-1401,30
3023,Refil Plástico para Embalador de Guarda-Chuva - 2253,Dispensers / Dispenser Plástico,CMI2253,,product-425,30
