sortOrder,titulo,categorias,referencia,preco,id,
,Armação Plus - Suporte p/ Aplicador de Cera ou Mop Pó 40 cm - AL400,Acessórios / Variedades,CMIAL400,,product-1533,
,Armação Plus - Suporte p/ Mop Pó 60 cm - AL600,Acessórios / Variedades,CMIAL600,,product-1535,
,Armação Profi - Suporte p/ Mop Pó - AP1200,Acessórios / Variedades,CMIAP1200,,product-1587,
,Armação Profi - Suporte p/ Mop Pó - AP600,Acessórios / Variedades,CMIAP600,,product-1585,
,Bac Mop Profissional,Acessórios / Variedades,CMIBMPF,,product-143,
,Conjunto Coleta Seletiva 4 Lixeiras 50 Lts e Base sem Rodas,Acessórios / Variedades,CMICOMALI04SR,,product-129,
,Escova Suporte LT Limpeza Pesada,Acessórios / Variedades,CMISE60xx,,product-277,
,Escova Suporte LT Macia,Acessórios / Variedades,CMISE70xx,,product-279,
,Espanador Eletrostático Cabo Simples,Acessórios / Variedades,CMIEE605AZ,,product-145,
,Estrutura Metálica para Fixação de Coletores 50L,Acessórios / Variedades,CMIETM50,,product-1327,
,Guia Removível GRXXX,Acessórios / Variedades,CMIGRXXX,,product-1871,
,"Haste Euro p/ Mop Úmido Garra em Plástico Azul c/ Cabo de Aluminio Fosco 1,40cm",Acessórios / Variedades,CMIHE211,,product-1551,
,indisponivel ls52,Acessórios / Variedades,CMILS52,,product-153,
,Kit Master p/ Limpeza de Vidros,Acessórios / Variedades,CMIKT903,,product-297,
,Kit Profissional para Limpeza de Vidros,Acessórios / Variedades,CMIkt901,,product-1755,
,Lâminas 4 cm p/ Raspador de Segurança -10 unidades - LR801,Acessórios / Variedades,CMILR801,,product-1577,
,Lâminas p/ Raspadores 10cm Multiuso - 10 unidades - LR800A,Acessórios / Variedades,CMILR800A,,product-1725,
,Limpador de Vidros,Acessórios / Variedades,CMILCXXX,,product-1607,
,Mão Mecânica 75cm Azul - MM75AZ,Acessórios / Variedades,CMIMM75AZ,,product-1733,
,Organizador de Acessórios c/ 3 clips - OA03AZ,Acessórios / Variedades,CMIOA03AZ,,product-1729,
,Organizador de Acessórios com 6 Clips,Acessórios / Variedades,CMIOA06AZ,,product-1605,
,Pá Coletora POP plástica com cabo de alumínio - Azul,Acessórios / Variedades,CMIPP555AZ,,product-295,
,Porta Luvas Inox Escovado,Acessórios / Variedades,CMI976,,product-2047,
,Porta Luvas Plástico Branco,Acessórios / Variedades,CMI10.07,,product-1623,
,Raspador de Segurança 4 cm,Acessórios / Variedades,CMIRV040,,product-1601,
,Raspador Multiuso Pesado com Cabo de 40 cm,Acessórios / Variedades,CMIRM400,,product-1949,
,Raspador multiuso Pesado com Cabo Plástico de 10 cm,Acessórios / Variedades,CMIRM100,,product-1783,
,"Raspador Pesado c/ Cabo de 1,40 m",Acessórios / Variedades,CMIRM150,,product-1957,
,Refil Aplicador de Cera Finish 40 cm - Microfibra - RF400,Acessórios / Variedades,CMIRF400,,product-1583,
,Refil Mop Líquido linha Microfibra Acqua Amarelo,Acessórios / Variedades,CMIRLM4AM,,product-1931,
,Refil Mop Líquido linha Microfibra Acqua Azul,Acessórios / Variedades,CMIRLM4AZ,,product-1933,
,Refil Mop Líquido linha Microfibra Acqua Branco,Acessórios / Variedades,CMIRLM4BR,,product-1973,
,Refil Mop Líquido linha Microfibra Acqua Verde,Acessórios / Variedades,CMIRLM4VD,,product-1975,
,Refil Mop Líquido linha Microfibra Acqua Vermelho,Acessórios / Variedades,CMIRLM4VM,,product-1937,acessórios
,Refil Mop Líquido Ponta c/ Loop 320g - RL32xx,Acessórios / Variedades,CMIRL32xx,,product-255,
,Refil Mop Líquido Ponta c/ Loop 400g,Acessórios / Variedades,CMIRL40xx,,product-1167,
,Refil Mop Líquido Ponta c/ Loop s/ cinta 300g,Acessórios / Variedades,CMIRL30xx,,product-1187,
,Refil Mop Líquido Ponta c/ Loop s/ cinta 350g - RL35xx,Acessórios / Variedades,CMIRL35xx,,product-259,
,Refil Mopinho - Mop Algodão com Encaixe de Rosca,Acessórios / Variedades,CMIBR32AZ,,product-1879,
,Rodo Profissional Twister s/ cabo - RT450,Acessórios / Variedades,CMIRT450,,product-1581,
,"Rodo Propulsor 0,9 m - RL090",Acessórios / Variedades,CMIRL090,,product-1409,
,"Rodo Propulsor 1,3 m - RL130",Acessórios / Variedades,CMIRL130,,product-289,
,Suporte LT Euro Azul - Suporte limpa tudo plástico p/ fibra,Acessórios / Variedades,CMISE301,,product-1567,
,Suporte LT Rosca,Acessórios / Variedades,CMISR300,,product-1569,
,Suporte para Fibra de Limpeza Ultra Pesada,Acessórios / Variedades,CMISM302,,product-1573,
,Balde 15 Litros - BA15xx,Acessórios / Variedades / Baldes,CMIBA15xx,,product-241,
,Balde 25 Litros - BA25xx,Acessórios / Variedades / Baldes,CMIBA25xx,,product-243,
,Balde 4 Litros - BA04xx,Acessórios / Variedades / Baldes,CMIBA04xx,,product-239,
,"Cabo de Alumínio Estriado com Rosca 1,40m - Azul",Acessórios / Variedades / Cabos,CMICE140,,product-1723,
,"Cabo de Alumínio Fosco com Ponteira 1,40m",Acessórios / Variedades / Cabos,CMICP140,,product-1753,
,"Cabo de Alumínio Liso Fosco sem Rosca 1,40m",Acessórios / Variedades / Cabos,CMICL140,,product-1553,
,Extensão Telescópica,Acessórios / Variedades / Cabos,CMIEX,,product-331,
,Tampa Bi Partida para Carro Cuba,Acessórios / Variedades / Carro Cuba / Tampas,CMIET,,product-2055,
,Tampa para Carro Cuba de 400L,Acessórios / Variedades / Carro Cuba / Tampas,CMICT40,,product-197,
,"Placa Sinalizadora ""Banheiro Fora de Uso""",Acessórios / Variedades / Placas de Sinalização,CMIPL2002,,product-275,
,Placa sinalizadora Cuidado piso molhado - 380056,Acessórios / Variedades / Placas de Sinalização,CMI380056,,product-719,
,Tampa Aro Inox 24cm - MSP363,Acessórios / Variedades / Tampas / Lixeiras Inox,CMIMSP363,,product-1857,
,Tampa Aro Inox 30cm - MSP366,Acessórios / Variedades / Tampas / Lixeiras Inox,CMIMSP366,,product-1885,
