"Código produto";"Nome produto";"Código categoria";"Nome categoria";"CÓDIGO CATEGORIA ADICIONAL 1";"CÓDIGO CATEGORIA ADICIONAL 2";"CÓDIGO CATEGORIA ADICIONAL 3";"CÓDIGO CATEGORIA ADICIONAL 4";"CÓDIGO CATEGORIA ADICIONAL 5"
"13";"PRODUTO DE TESTE";"1";"Dispenser";"";"";"";"";""
"27";"Contentor Hospitalar 120 litros c/Pedal (coletor de resíduos) Branco - Contemar";"67";"Com Pedal";"";"";"";"";""
"29";"Contentor de Lixo Hostpitalar 660 litros c/Pedal - Contemar";"67";"Com Pedal";"";"";"";"";""
"31";"Contentor Hospitalar 240 litros c/Pedal (coletor de resíduos) Branco - Contemar";"67";"Com Pedal";"";"";"";"";""
"35";"Contentor Hospitalar 360 litros c/ c Pedal Branco - Contemar";"67";"Com Pedal";"";"";"";"";""
"51";"Dispenser para Papel Toalha Interfolhado ou Higienico Cai Cai - Urban Glass Verde - Premisse";"59";"Papel Toalha Interfolhado";"";"";"";"";""
"57";"Dispenser Múltiplo para Papel Toalha Interfolhado ou Higiênico Cai Cai - Urban Glass Azul - Premisse";"163";"Dispenser Plástico";"";"";"";"";""
"71";"Dispenser para Sabonete Líquido com Reservatório - Velox Dark Premisse";"163";"Dispenser Plástico";"51";"";"";"";""
"75";"Dispenser para Papel Higiênico Rolão Velox Dark - Premisse";"163";"Dispenser Plástico";"57";"";"";"";""
"81";"Reservatório Dispenser de Sabonete Líquido - Premisse C19120";"1";"Dispenser";"51";"";"";"";""
"87";"Dispenser para Papel Toalha Interfolhado - Velox Dark - Premisse";"163";"Dispenser Plástico";"59";"";"";"";""
"95";"Dispenser p/ Papel Higiênico Rolão Linha Clean Preto - 19634 - Premisse";"57";"Papel Higiênico Rolão";"";"";"";"";""
"105";"Dispenser Papel Toalha Velox Premisse";"1";"Dispenser";"59";"163";"";"";""
"109";"Dispenser Sabonete Líquido ou Álcool Gel Velox - Premisse C19428";"1";"Dispenser";"51";"163";"167";"";""
"113";"Dispenser Múltiplo para Papel Toalha Interfolhado ou Higiênico Cai Cai Urban Premisse C19284";"1";"Dispenser";"55";"59";"163";"";""
"115";"Contentor de Lixo 1000 Litros COM PEDAL";"63";"Lixeiras e Contentores";"67";"169";"171";"";""
"119";"Contentor de lixo 700 litros SEM PEDAL";"63";"Lixeiras e Contentores";"69";"169";"171";"";""
"121";"Contentor de Lixo 120 Litros COM PEDAL";"63";"Lixeiras e Contentores";"67";"169";"171";"";""
"123";"Contentor de lixo 240 Litros COM PEDAL";"63";"Lixeiras e Contentores";"67";"169";"171";"";""
"125";"Contentor de Lixo 360 Litros COM PEDAL";"63";"Lixeiras e Contentores";"67";"169";"171";"";""
"127";"Contentor de lixo 240 litros SEM PEDAL";"63";"Lixeiras e Contentores";"65";"69";"169";"171";""
"129";"Conjunto Coleta Seletiva 4 Lixeiras 50 Lts e Base sem Rodas - Bralimpia";"69";"Sem Pedal";"";"";"";"";""
"131";"Lixeira 15 Litros com Pedal em plástico";"63";"Lixeiras e Contentores";"65";"67";"169";"";""
"139";"Tampa Simples p/ Lixeira Retangular de 50 Lts - Bralimpia";"155";"Tampas";"65";"";"";"";""
"141";"Contentor de lixo 120 Litros";"63";"Lixeiras e Contentores";"69";"169";"171";"";""
"143";"Bac Mop Profissional - Bralimpia";"175";"Linha Food Service - Restaurantes / Cozinhas";"";"";"";"";""
"145";"Espanador Eletrostático Cabo Simples - Bralimpia";"25";"Acessórios/ Diversos";"";"";"";"";""
"147";"Cesto de Lixo 14 litros sem tampa nas Cores da Coleta Seletiva - Bralimpia";"63";"Lixeiras e Contentores";"65";"69";"169";"";""
