keyword,url,grupo
contentor 700 litros,/produtos/lixeiras-e-contentores/contentor-de-lixo-700-litros-com-pedal-cp700,Contentores
contentor 1000 litros,/produtos/lixeiras-e-contentores/contentor-de-lixo-1000-litros-com-pedal-cp1000,Contentores
contentor 120 litros,/produtos/lixeiras-e-contentores/contentor-de-lixo-120-litros-com-pedal-cp120,Contentores
contentor 240 litros,/produtos/lixeiras-e-contentores/contentor-de-lixo-240-litros-com-pedal-cp240,Contentores
contentor 360 litros,/produtos/lixeiras-e-contentores/contentor-de-lixo-360-litros-com-pedal-cp360,Contentores
contentor com pedal,/produtos/lixeiras-e-contentores/contentor-de-lixo-700-litros-com-pedal-cp700,Contentores
contentor hospitalar,/produtos/lixeiras-e-contentores/contentor-hospitalar-240-litros-c-pedal-coletor-de-residuos-branco-cp240h,Contentores
lixeira inox 15 litros,/produtos/lixeiras-e-contentores/lixeira-15-litros-com-pedal-em-inox-escovado-marca-183,Lixeiras Inox
lixeira inox 30 litros,/produtos/lixeiras-e-contentores/lixeira-30-litros-com-pedal-em-inox-escovado-181,Lixeiras Inox
lixeira inox com pedal,/produtos/lixeiras-e-contentores/lixeira-15-litros-com-pedal-em-inox-escovado-marca-183,Lixeiras Inox
lixeira aco inox,/produtos/lixeiras-e-contentores/lixeira-15-litros-com-pedal-em-inox-escovado-marca-183,Lixeiras Inox
lixeira coleta seletiva,/produtos/lixeiras-e-contentores/lixeira-inox-coleta-seletiva-redonda-com-pedal-2191,Lixeiras Inox
balde espremedor 30 litros,/produtos/equipamentos-de-limpeza/balde-espremedor-doblo-30-litros-ny108,Baldes
balde espremedor doblo,/produtos/equipamentos-de-limpeza/balde-espremedor-doblo-30-litros-ny108,Baldes
balde espremedor 20 litros,/produtos/equipamentos-de-limpeza/balde-espremedor-doblo-20l-standard-b20s,Baldes
balde 4 litros,/produtos/acessorios/balde-4-litros-ba04xx,Baldes
balde 15 litros,/produtos/acessorios/balde-15-litros-ba15xx,Baldes
balde 25 litros,/produtos/acessorios/balde-25-litros-ba25xx,Baldes
balde com espremedor,/produtos/equipamentos-de-limpeza/balde-espremedor-doblo-30-litros-ny108,Baldes
mop 360 graus,/produtos/equipamentos-de-limpeza/balde-plastico-com-centrifuga-em-inox-mop-e-cabo-360-mop-pro-380898,Baldes
spray mop,/produtos/equipamentos-de-limpeza/mop-profissional-spray-pro-psm85,Baldes
carro de limpeza,/produtos/equipamentos-de-limpeza/carro-funcional-ny-master-compaq-ny100,Carrinhos
carro funcional,/produtos/equipamentos-de-limpeza/carro-funcional-ny-master-compaq-ny100,Carrinhos
carro limpeza profissional,/produtos/equipamentos-de-limpeza/carro-funcional-ny-master-compaq-ny100,Carrinhos
carro guard hospitalar,/produtos/equipamentos-de-limpeza/carro-de-limpeza-guard-hospitalar-hosp-100-comali-hosp100,Carrinhos
carro banqueta,/produtos/equipamentos-de-limpeza/carro-bancada-ny102,Carrinhos
kit balde espremedor,/produtos/equipamentos-de-limpeza/kit-profissional-balde-espremedor-completo-para-limpeza-nykt01-kit-1,Baldes
kit limpeza profissional,/produtos/equipamentos-de-limpeza/kit-profissional-balde-espremedor-completo-para-limpeza-nykt01-kit-1,Baldes
saboneteira parede,/produtos/dispensers/saboneteira-800ml-inox-escovado-linha-noble-1016,Saboneteiras
