"Código variação";"Código produto";"Nome produto";"EAN";"Variação principal";"Valor variação principal";"Variação 2";"Valor variação 2";"Peso";"Preço venda";"Estoque";"Quantidade vendida";"Preço custo";"Inicio promoção";"Fim promoção";"Preço promoção";"Referência";"Imagem";"Comprimento";"Largura";"Altura";"Imagens adicionais";"Prazo de disponibilidade"
"85";"805";"Contentor de Lixo 360 Litros SEM PEDAL";"";"Cor";"Marrom";"";"";"16000";"0,00";"1";"0";"614,50";"";"";"0,00";"C360MR";"https://images.tcdn.com.br/img/img_prod/746334/contentor_de_lixo_360_litros_sem_pedal_contemar_805_variacao_85_1_20200406110931.jpg";"62";"85";"110";"https://images.tcdn.com.br/img/img_prod/746334/contentor_de_lixo_360_litros_sem_pedal_contemar_805_variacao_85_1_20200406110931.jpg";""
"87";"805";"Contentor de Lixo 360 Litros SEM PEDAL";"";"Cor";"Amarela";"";"";"16000";"0,00";"1";"0";"614,50";"";"";"0,00";"C360AM";"https://images.tcdn.com.br/img/img_prod/746334/contentor_de_lixo_360_litros_sem_pedal_contemar_805_variacao_87_1_20200406110932.jpg";"62";"85";"110";"https://images.tcdn.com.br/img/img_prod/746334/contentor_de_lixo_360_litros_sem_pedal_contemar_805_variacao_87_1_20200406110932.jpg";""
"89";"805";"Contentor de Lixo 360 Litros SEM PEDAL";"";"Cor";"Laranja";"";"";"16000";"0,00";"1";"0";"614,50";"";"";"0,00";"C360LA";"https://images.tcdn.com.br/img/img_prod/746334/contentor_de_lixo_360_litros_sem_pedal_contemar_805_variacao_89_1_20200406110933.jpg";"62";"85";"110";"https://images.tcdn.com.br/img/img_prod/746334/contentor_de_lixo_360_litros_sem_pedal_contemar_805_variacao_89_1_20200406110933.jpg";""
"91";"805";"Contentor de Lixo 360 Litros SEM PEDAL";"";"Cor";"Vermelha";"";"";"16000";"0,00";"1";"0";"614,50";"";"";"0,00";"C360VM";"https://images.tcdn.com.br/img/img_prod/746334/contentor_de_lixo_360_litros_sem_pedal_contemar_805_variacao_91_1_20200406110932.jpg";"62";"85";"110";"https://images.tcdn.com.br/img/img_prod/746334/contentor_de_lixo_360_litros_sem_pedal_contemar_805_variacao_91_1_20200406110932.jpg";""
"93";"805";"Contentor de Lixo 360 Litros SEM PEDAL";"";"Cor";"Azul";"";"";"16000";"0,00";"1";"0";"614,50";"";"";"0,00";"C360AZ";"https://images.tcdn.com.br/img/img_prod/746334/contentor_de_lixo_360_litros_sem_pedal_contemar_805_variacao_93_1_20200406110933.png";"62";"85";"110";"https://images.tcdn.com.br/img/img_prod/746334/contentor_de_lixo_360_litros_sem_pedal_contemar_805_variacao_93_1_20200406110933.png";""
"95";"805";"Contentor de Lixo 360 Litros SEM PEDAL";"";"Cor";"Branca";"";"";"16000";"0,00";"1";"0";"614,50";"";"";"0,00";"C360BR";"https://images.tcdn.com.br/img/img_prod/746334/contentor_de_lixo_360_litros_sem_pedal_contemar_805_variacao_95_1_20200406110932.jpg";"62";"85";"110";"https://images.tcdn.com.br/img/img_prod/746334/contentor_de_lixo_360_litros_sem_pedal_contemar_805_variacao_95_1_20200406110932.jpg";""
"97";"805";"Contentor de Lixo 360 Litros SEM PEDAL";"";"Cor";"Cinza";"";"";"16000";"0,00";"1";"1";"614,50";"";"";"0,00";"C360CZ";"https://images.tcdn.com.br/img/img_prod/746334/contentor_de_lixo_360_litros_sem_pedal_contemar_805_variacao_97_1_20200406110934.jpg";"62";"85";"110";"https://images.tcdn.com.br/img/img_prod/746334/contentor_de_lixo_360_litros_sem_pedal_contemar_805_variacao_97_1_20200406110934.jpg";""
"99";"1309";"Cesto para Lixo 14 Litros sem Tampa  - Bralimpia";"";"Cor";"Branca";"";"";"550";"0,00";"10";"0";"0,00";"";"";"0,00";"CL24BR";"https://images.tcdn.com.br/img/img_prod/746334/cesto_para_lixo_14_litros_sem_tampa_bralimpia_1309_variacao_99_1_20200408104023.png";"24";"24";"30";"https://images.tcdn.com.br/img/img_prod/746334/cesto_para_lixo_14_litros_sem_tampa_bralimpia_1309_variacao_99_1_20200408104023.png";""
"101";"805";"Contentor de Lixo 360 Litros SEM PEDAL";"";"Cor";"Verde";"";"";"16000";"0,00";"1";"3";"614,50";"";"";"0,00";"C360VD";"https://images.tcdn.com.br/img/img_prod/746334/contentor_de_lixo_360_litros_sem_pedal_contemar_805_variacao_101_1_20200406110933.jpg";"62";"85";"110";"https://images.tcdn.com.br/img/img_prod/746334/contentor_de_lixo_360_litros_sem_pedal_contemar_805_variacao_101_1_20200406110933.jpg";""
"103";"1309";"Cesto para Lixo 14 Litros sem Tampa  - Bralimpia";"";"Cor";"Preta";"";"";"550";"0,00";"10";"0";"0,00";"";"";"0,00";"CL24PR";"https://images.tcdn.com.br/img/img_prod/746334/cesto_para_lixo_14_litros_sem_tampa_bralimpia_1309_variacao_103_1_20200408101538.png";"24";"24";"30";"https://images.tcdn.com.br/img/img_prod/746334/cesto_para_lixo_14_litros_sem_tampa_bralimpia_1309_variacao_103_1_20200408101538.png";""
"111";"1311";"Lixeira 23 Litros em plástico redonda sem tampa";"";"Cor";"Branca";"";"";"950";"0,00";"10";"0";"0,00";"";"";"0,00";"CL51BR";"https://images.tcdn.com.br/img/img_prod/746334/cesto_para_lixo_23_litros_sem_tampa_bralimpia_1311_variacao_111_1_20200408105245.png";"24";"24";"51";"https://images.tcdn.com.br/img/img_prod/746334/cesto_para_lixo_23_litros_sem_tampa_bralimpia_1311_variacao_111_1_20200408105245.png";""
